satverbal,satmath,gpaoverall,gpaenglish,gpamath,gpascience,highestgradecompleted
,,3.06,350.0,280.0,315.0,13.0
,,,,,,12.0
,,,,,,7.0
,,3.45,345.0,370.0,300.0,
,,2.91,283.0,285.0,240.0,13.0
,,2.46,200.0,307.0,138.0,12.0
,,,,,,15.0
,,2.51,236.0,282.0,198.0,13.0
,,1.75,188.0,150.0,280.0,
,,,,,,11.0
,,,,,,11.0
,,3.63,357.0,343.0,360.0,20.0
,,2.98,288.0,300.0,280.0,12.0
,,3.37,300.0,293.0,325.0,18.0
,,3.26,273.0,298.0,293.0,12.0
,,,,,,18.0
,,,,,,14.0
,,,,,,
,,,,,,9.0
,,2.35,233.0,100.0,293.0,15.0
,,,,,,16.0
,,,,,,8.0
,,,,,,
,,,,,,16.0
,,3.14,285.0,287.0,287.0,14.0
,,,,,,11.0
,,,,,,11.0
,,,,,,8.0
330.0,400.0,3.03,279.0,254.0,309.0,16.0
,,2.27,288.0,110.0,220.0,12.0
,,,,,,
,,2.29,173.0,175.0,240.0,
,,3.16,303.0,327.0,310.0,19.0
,,,,,,7.0
,,,,,,8.0
,,1.37,171.0,233.0,100.0,10.0
,,2.92,298.0,204.0,250.0,19.0
500.0,430.0,2.15,191.0,213.0,170.0,12.0
,,3.57,300.0,367.0,333.0,
,,2.08,188.0,194.0,175.0,12.0
,,2.97,304.0,267.0,285.0,18.0
,,1.36,100.0,,,9.0
,,2.42,280.0,280.0,280.0,8.0
480.0,510.0,3.14,310.0,290.0,265.0,16.0
,,1.67,,,,
,,,,,,19.0
,,3.25,315.0,268.0,260.0,14.0
,,,,,,8.0
,,,,,,9.0
,,,,,,
,,,,,,
,,,,,,15.0
,,3.38,314.0,318.0,312.0,
,,,,,,11.0
,,2.41,300.0,270.0,190.0,
,,3.18,295.0,340.0,326.0,17.0
,,2.6,150.0,190.0,200.0,15.0
,,,,,,10.0
,,,,,,
,,,,,,12.0
,,2.95,295.0,238.0,268.0,12.0
,,2.64,244.0,227.0,262.0,14.0
,,2.43,206.0,238.0,253.0,
,,,,,,12.0
480.0,590.0,3.53,363.0,325.0,300.0,18.0
,,,,,,
,,2.71,100.0,290.0,280.0,9.0
,,1.0,,,,
370.0,340.0,2.39,212.0,280.0,100.0,
,,,,,,12.0
,,3.3,376.0,275.0,366.0,17.0
670.0,630.0,3.81,400.0,350.0,350.0,
,,3.43,263.0,331.0,318.0,14.0
,,2.34,163.0,200.0,270.0,12.0
500.0,610.0,3.44,325.0,325.0,344.0,
,,3.07,280.0,300.0,280.0,9.0
,,1.9,72.0,220.0,190.0,12.0
,,,,,,12.0
,,3.12,300.0,294.0,325.0,13.0
,,,,,,12.0
,,,,,,12.0
,,,,,,11.0
,,3.26,240.0,313.0,318.0,17.0
,,,,,,9.0
,,,,,,12.0
,,,,,,12.0
,,2.21,202.0,200.0,235.0,17.0
,,,,,,18.0
,,,,,,8.0
390.0,330.0,3.16,320.0,290.0,290.0,15.0
,,,,,,
,,1.64,280.0,70.0,70.0,14.0
,,2.87,258.0,227.0,220.0,
,,3.19,294.0,285.0,293.0,
,,3.18,315.0,288.0,287.0,16.0
,,3.17,314.0,295.0,297.0,
,,2.78,268.0,160.0,252.0,
,,3.01,327.0,300.0,290.0,14.0
,,2.96,260.0,283.0,235.0,
,,2.17,,200.0,280.0,9.0
,,,,,,12.0
,,,,,,16.0
450.0,460.0,3.26,312.0,252.0,350.0,
,,2.71,128.0,208.0,268.0,
,,,,,,8.0
,,,,,,
,,,,,,11.0
,,3.54,348.0,361.0,333.0,
430.0,470.0,2.39,242.0,168.0,235.0,
,,,,,,10.0
,,2.17,300.0,350.0,100.0,11.0
610.0,680.0,3.47,309.0,385.0,321.0,15.0
460.0,410.0,3.55,366.0,310.0,333.0,12.0
,,1.2,100.0,,160.0,9.0
,,2.64,230.0,,240.0,18.0
,,3.05,300.0,280.0,300.0,14.0
440.0,550.0,3.72,400.0,400.0,400.0,16.0
430.0,540.0,3.06,250.0,367.0,227.0,12.0
,,,,,,13.0
430.0,220.0,2.85,248.0,221.0,282.0,16.0
,,,,,,14.0
470.0,510.0,3.4,349.0,287.0,287.0,16.0
,,,,,,11.0
,,,,,,12.0
,,3.73,404.0,363.0,338.0,16.0
,,,,,,17.0
480.0,430.0,3.07,278.0,319.0,320.0,18.0
,,,,,,
560.0,540.0,2.78,327.0,265.0,298.0,16.0
,,,,,,17.0
,,2.94,318.0,200.0,296.0,20.0
,,,,,,12.0
,,4.03,407.0,410.0,410.0,16.0
,,,,,,
,,2.99,282.0,222.0,209.0,
,,2.63,190.0,280.0,,11.0
,,3.11,285.0,287.0,280.0,14.0
,,,,,,16.0
,,3.17,,,,8.0
,,2.75,272.0,145.0,320.0,13.0
,,3.74,380.0,400.0,350.0,
,,,,,,
,,2.73,275.0,300.0,227.0,16.0
,,3.02,326.0,226.0,289.0,
,,2.21,,185.0,205.0,12.0
,,3.02,263.0,260.0,285.0,
530.0,420.0,2.37,238.0,206.0,178.0,
,,2.66,300.0,173.0,287.0,18.0
,,1.3,136.0,160.0,160.0,15.0
,,1.76,100.0,100.0,100.0,17.0
,,,,,,14.0
,,,,,,16.0
,,3.33,320.0,330.0,315.0,20.0
440.0,550.0,3.6,400.0,350.0,347.0,18.0
,,,,,,
,,3.06,300.0,258.0,310.0,15.0
,,,,,,10.0
,,2.81,252.0,285.0,233.0,
,,,,,,16.0
,,,,,,
,,3.81,375.0,366.0,380.0,16.0
,,,,,,14.0
,,,,,,12.0
,,3.51,350.0,328.0,333.0,20.0
400.0,390.0,2.71,269.0,200.0,280.0,14.0
,,,,,,17.0
,,3.34,265.0,250.0,343.0,18.0
,,2.05,190.0,160.0,160.0,95.0
,,2.75,,267.0,275.0,14.0
,,1.79,160.0,190.0,167.0,14.0
,,,,,,15.0
,,1.9,100.0,100.0,,11.0
,,2.83,270.0,270.0,220.0,18.0
,,,,,,
,,,,,,
,,2.35,190.0,167.0,190.0,14.0
,,3.34,360.0,320.0,280.0,16.0
,,,,,,16.0
390.0,430.0,3.2,300.0,320.0,293.0,
390.0,430.0,3.57,322.0,375.0,350.0,14.0
,,,,,,12.0
,,2.29,216.0,122.0,193.0,
,,,,,,13.0
,,,,,,
,,,,,,12.0
490.0,400.0,2.73,237.0,177.0,328.0,16.0
,,2.32,221.0,142.0,180.0,16.0
560.0,490.0,3.09,315.0,305.0,270.0,16.0
530.0,590.0,3.09,310.0,273.0,307.0,16.0
,,,,,,12.0
,,2.61,206.0,172.0,220.0,12.0
